threshold,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,accuracy,F1,Youden_J,Cohen_kappa,Fisher_OR,Fisher_p,permutation_p,perm_null_mean_kappa,perm_null_95_kappa
HIGH+MODERATE,4,13,13,33,0.235,0.717,0.235,0.717,0.587,0.235,-0.047,-0.047,0.781,0.7519,0.5108,-0.0,0.194
HIGH only,0,1,17,45,0.0,0.978,0.0,0.726,0.714,0.0,-0.022,-0.031,0.0,1.0,1.0,0.0,0.084
